accuracy,precision,recall,f1,roc_auc,model,horizon,split,threshold,train_size,val_size,test_size,ensemble
0.641,0.16313993174061434,0.532293986636971,0.2497387669801463,0.6417038645909838,logreg,30d,80/20,0.49999999999999994,12800,3200,4000,False
0.61175,0.15239294710327456,0.5389755011135857,0.23760432007854687,0.6166536732649732,rf,30d,80/20,0.39999999999999997,12800,3200,4000,False
0.581,0.1656675749318801,0.6770601336302895,0.266199649737303,0.6661917750826487,xgboost,30d,80/20,0.1,12800,3200,4000,False
0.589,0.1622385528547202,0.6391982182628062,0.2587917042380523,0.6562193654160596,lightgbm,30d,80/20,0.44999999999999996,12800,3200,4000,False
0.53625,0.15403543307086615,0.6971046770601337,0.2523176138653769,0.6590125809160693,catboost,30d,80/20,0.44999999999999996,12800,3200,4000,False
0.5745,0.16335303600214937,0.6770601336302895,0.2632034632034632,0.6678158980280344,gb_ensemble,30d,80/20,0.3333333333333333,12800,3200,4000,True
0.5745,0.16335303600214937,0.6770601336302895,0.2632034632034632,0.6678158980280344,tri_ensemble,30d,80/20,0.3333333333333333,12800,3200,4000,True
0.7303333333333333,0.17966101694915254,0.3937592867756315,0.2467411545623836,0.6418227142502896,logreg,30d,70/30,0.5499999999999999,11200,2800,6000,False
0.6191666666666666,0.1561433447098976,0.5438335809806835,0.24262512429565794,0.6233678496185989,rf,30d,70/30,0.39999999999999997,11200,2800,6000,False
0.7753333333333333,0.21178479931682323,0.3684992570579495,0.26898047722342733,0.6607076958866366,xgboost,30d,70/30,0.15,11200,2800,6000,False
0.6821666666666667,0.17864583333333334,0.5096582466567607,0.2645584265329734,0.644426288907528,lightgbm,30d,70/30,0.49999999999999994,11200,2800,6000,False
0.6706666666666666,0.1838913148956817,0.563150074294205,0.27724945135332846,0.6598703345066248,catboost,30d,70/30,0.49999999999999994,11200,2800,6000,False
0.7058333333333333,0.18835616438356165,0.4903417533432392,0.2721649484536082,0.658680957782984,gb_ensemble,30d,70/30,0.3833333333333333,11200,2800,6000,True
0.6743333333333333,0.18118466898954705,0.5408618127786032,0.2714392244593587,0.6537817521605569,tri_ensemble,30d,70/30,0.4666666666666666,11200,2800,6000,True
0.6596,0.17418617932609937,0.5436720142602496,0.263840830449827,0.645905137536798,logreg,30d,75/25,0.49999999999999994,12000,3000,5000,False
0.626,0.16349614395886888,0.5668449197860963,0.25379090183559455,0.6244581430434101,rf,30d,75/25,0.39999999999999997,12000,3000,5000,False
0.5994,0.16835326586936522,0.6524064171122995,0.2676416819012797,0.6635284640797277,xgboost,30d,75/25,0.1,12000,3000,5000,False
0.491,0.1492220650636492,0.7522281639928698,0.24904101504868692,0.6582133969727891,lightgbm,30d,75/25,0.39999999999999997,12000,3000,5000,False
0.5592,0.1546868432114334,0.6559714795008913,0.2503401360544218,0.656183905498139,catboost,30d,75/25,0.44999999999999996,12000,3000,5000,False
0.5406,0.1574585635359116,0.7112299465240641,0.2578352180936995,0.6650383350620553,gb_ensemble,30d,75/25,0.31666666666666665,12000,3000,5000,True
0.5406,0.1574585635359116,0.7112299465240641,0.2578352180936995,0.6650383350620553,tri_ensemble,30d,75/25,0.3166666666666666,12000,3000,5000,True
0.6412857142857142,0.16556804963164018,0.5432569974554707,0.2537890044576523,0.6355373362783373,logreg,30d,65/35,0.49999999999999994,10400,2600,7000,False
0.8292857142857143,0.21074964639321075,0.1895674300254453,0.19959812458137977,0.6156761674983273,rf,30d,65/35,0.49999999999999994,10400,2600,7000,False
0.7847142857142857,0.2154696132596685,0.3473282442748092,0.26595226497808083,0.6589333696954509,xgboost,30d,65/35,0.15,10400,2600,7000,False
0.6954285714285714,0.18254716981132074,0.49236641221374045,0.2663454920853407,0.6453692351916503,lightgbm,30d,65/35,0.49999999999999994,10400,2600,7000,False
0.5444285714285715,0.15543447089188414,0.6895674300254453,0.25368593494032293,0.6510876695567999,catboost,30d,65/35,0.44999999999999996,10400,2600,7000,False
0.6772857142857143,0.18349806617963044,0.5432569974554707,0.2743334404111789,0.6580388534139853,gb_ensemble,30d,65/35,0.36666666666666664,10400,2600,7000,True
0.6538571428571428,0.17914543316346532,0.5814249363867684,0.2738987114174408,0.6567012761956708,tri_ensemble,30d,65/35,0.48333333333333334,10400,2600,7000,True
0.64575,0.16735395189003435,0.5423162583518931,0.2557773109243697,0.6288534112226613,logreg,30d,60/40,0.49999999999999994,9600,2400,8000,False
0.643,0.16311080523055746,0.5278396436525612,0.24921135646687698,0.6288520000326141,rf,30d,60/40,0.39999999999999997,9600,2400,8000,False
0.5685,0.15928495197438633,0.6648106904231625,0.2569952647438657,0.6527111469588227,xgboost,30d,60/40,0.1,9600,2400,8000,False
0.58925,0.15924657534246575,0.621380846325167,0.2535211267605634,0.6428850306604558,lightgbm,30d,60/40,0.44999999999999996,9600,2400,8000,False
0.5365,0.15513009327442318,0.7037861915367484,0.25422365245374096,0.648905951396106,catboost,30d,60/40,0.44999999999999996,9600,2400,8000,False
0.567375,0.16016971625563511,0.6726057906458798,0.25872777896765903,0.654958231910582,gb_ensemble,30d,60/40,0.3333333333333333,9600,2400,8000,True
0.567375,0.16016971625563511,0.6726057906458798,0.25872777896765903,0.654958231910582,tri_ensemble,30d,60/40,0.3333333333333333,9600,2400,8000,True
0.6325,0.16079734219269104,0.5389755011135857,0.24769703172978505,0.6346504231374958,logreg,30d,60/20/20,0.49999999999999994,12000,4000,4000,False
0.61275,0.16257668711656442,0.5902004454342984,0.25493025493025495,0.6272595504638425,rf,30d,60/20/20,0.39999999999999997,12000,4000,4000,False
0.5705,0.1616,0.6748329621380846,0.2607573149741824,0.6513360206573136,xgboost,30d,60/20/20,0.1,12000,4000,4000,False
0.574,0.1557871640153593,0.6325167037861915,0.25,0.6498407864029017,lightgbm,30d,60/20/20,0.44999999999999996,12000,4000,4000,False
0.53975,0.15781710914454278,0.7149220489977728,0.2585581957309706,0.6557611990474154,catboost,30d,60/20/20,0.44999999999999996,12000,4000,4000,False
0.567,0.16219062664560294,0.6859688195991092,0.262350936967632,0.6593713367858358,gb_ensemble,30d,60/20/20,0.3333333333333333,12000,4000,4000,True
0.567,0.16219062664560294,0.6859688195991092,0.262350936967632,0.6593713367858358,tri_ensemble,30d,60/20/20,0.3333333333333333,12000,4000,4000,True
0.5114961679440186,0.14652473387601753,0.6943620178041543,0.2419855222337125,0.6318971048199535,logreg,30d,70/15/15,0.44999999999999996,14000,2999,3001,False
0.5984671776074642,0.1561014263074485,0.5845697329376854,0.24640400250156347,0.6344734942657791,rf,30d,70/15/15,0.39999999999999997,14000,2999,3001,False
0.5761412862379207,0.1658327376697641,0.6884272997032641,0.2672811059907834,0.6605682091587136,xgboost,30d,70/15/15,0.1,14000,2999,3001,False
0.5848050649783405,0.16308376575240918,0.6528189910979229,0.2609727164887307,0.6596821227755947,lightgbm,30d,70/15/15,0.44999999999999996,14000,2999,3001,False
0.5338220593135622,0.1515748031496063,0.685459940652819,0.24825362708221385,0.6503116618101781,catboost,30d,70/15/15,0.44999999999999996,14000,2999,3001,False
0.5661446184605131,0.1618780658724597,0.685459940652819,0.2619047619047619,0.6628505359959366,gb_ensemble,30d,70/15/15,0.3333333333333333,14000,2999,3001,True
0.5288237254248583,0.15547024952015356,0.7210682492581603,0.2557894736842105,0.6532110745760598,tri_ensemble,30d,70/15/15,0.3333333333333333,14000,2999,3001,True
0.46225,0.46225,1.0,0.6322448281757566,0.6501932641539938,logreg,60d,80/20,0.05,12800,3200,4000,False
0.46225,0.46225,1.0,0.6322448281757566,0.6742144408665496,rf,60d,80/20,0.05,12800,3200,4000,False
0.4635,0.462828535669587,1.0,0.632785763175907,0.6832743345253782,xgboost,60d,80/20,0.05,12800,3200,4000,False
0.46325,0.4627127127127127,1.0,0.63267750213858,0.6810069096366564,lightgbm,60d,80/20,0.05,12800,3200,4000,False
0.46225,0.46225,1.0,0.6322448281757566,0.6825611441620094,catboost,60d,80/20,0.05,12800,3200,4000,False
0.46225,0.46225,1.0,0.6322448281757566,0.6845851816818822,gb_ensemble,60d,80/20,0.05000000000000001,12800,3200,4000,True
0.46225,0.46225,1.0,0.6322448281757566,0.679783686961603,tri_ensemble,60d,80/20,0.05000000000000001,12800,3200,4000,True
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6458294383476239,logreg,60d,70/30,0.05,11200,2800,6000,False
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6710994537502553,rf,60d,70/30,0.05,11200,2800,6000,False
0.46416666666666667,0.46309285237140946,1.0,0.6330327588174866,0.6782711817471387,xgboost,60d,70/30,0.05,11200,2800,6000,False
0.46416666666666667,0.46309285237140946,1.0,0.6330327588174866,0.6819676232956445,lightgbm,60d,70/30,0.05,11200,2800,6000,False
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6826912664744625,catboost,60d,70/30,0.05,11200,2800,6000,False
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6834260288713011,gb_ensemble,60d,70/30,0.05000000000000001,11200,2800,6000,True
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6753749327678438,tri_ensemble,60d,70/30,0.05000000000000001,11200,2800,6000,True
0.4622,0.4622,1.0,0.6321980577212419,0.6529579698626342,logreg,60d,75/25,0.05,12000,3000,5000,False
0.4622,0.4622,1.0,0.6321980577212419,0.6779227324682398,rf,60d,75/25,0.05,12000,3000,5000,False
0.4634,0.4627553063676412,1.0,0.6327173169062286,0.6834109797773805,xgboost,60d,75/25,0.05,12000,3000,5000,False
0.4636,0.4628479871820549,1.0,0.632803943044907,0.6836034397554407,lightgbm,60d,75/25,0.05,12000,3000,5000,False
0.4622,0.4622,1.0,0.6321980577212419,0.6823831855634418,catboost,60d,75/25,0.05,12000,3000,5000,False
0.4622,0.4622,1.0,0.6321980577212419,0.6857718329029,gb_ensemble,60d,75/25,0.05000000000000001,12000,3000,5000,True
0.4622,0.4622,1.0,0.6321980577212419,0.6819400931306754,tri_ensemble,60d,75/25,0.05000000000000001,12000,3000,5000,True
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6481219070138817,logreg,60d,65/35,0.05,10400,2600,7000,False
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6764068301754342,rf,60d,65/35,0.05,10400,2600,7000,False
0.4622857142857143,0.4622088869838548,1.0,0.6322063709204612,0.6845617016734709,xgboost,60d,65/35,0.05,10400,2600,7000,False
0.4622857142857143,0.4622088869838548,1.0,0.6322063709204612,0.6839530286889536,lightgbm,60d,65/35,0.05,10400,2600,7000,False
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6800946651313345,catboost,60d,65/35,0.05,10400,2600,7000,False
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6851945951382518,gb_ensemble,60d,65/35,0.05000000000000001,10400,2600,7000,True
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6797436734258226,tri_ensemble,60d,65/35,0.05000000000000001,10400,2600,7000,True
0.462125,0.462125,1.0,0.6321278960417201,0.6467489609597974,logreg,60d,60/40,0.05,9600,2400,8000,False
0.462125,0.462125,1.0,0.6321278960417201,0.6743742893205142,rf,60d,60/40,0.05,9600,2400,8000,False
0.462375,0.462240560140035,1.0,0.6322359982898674,0.6801533247872119,xgboost,60d,60/40,0.05,9600,2400,8000,False
0.46225,0.4621827728466058,1.0,0.6321819425444597,0.6808751856197854,lightgbm,60d,60/40,0.05,9600,2400,8000,False
0.462125,0.462125,1.0,0.6321278960417201,0.6782947225111893,catboost,60d,60/40,0.05,9600,2400,8000,False
0.462125,0.462125,1.0,0.6321278960417201,0.6822309965979161,gb_ensemble,60d,60/40,0.05000000000000001,9600,2400,8000,True
0.462125,0.462125,1.0,0.6321278960417201,0.6776183413940655,tri_ensemble,60d,60/40,0.05000000000000001,9600,2400,8000,True
0.462,0.462,1.0,0.6320109439124487,0.6467199544569433,logreg,60d,60/20/20,0.05,12000,4000,4000,False
0.462,0.462,1.0,0.6320109439124487,0.6691633374370364,rf,60d,60/20/20,0.05,12000,4000,4000,False
0.46375,0.4628099173553719,1.0,0.632768361581921,0.6746072816588617,xgboost,60d,60/20/20,0.05,12000,4000,4000,False
0.4635,0.4626940410615924,1.0,0.6326600479287915,0.6798220270281143,lightgbm,60d,60/20/20,0.05,12000,4000,4000,False
0.462,0.462,1.0,0.6320109439124487,0.6780481561499219,catboost,60d,60/20/20,0.05,12000,4000,4000,False
0.462,0.462,1.0,0.6320109439124487,0.6797172971080964,gb_ensemble,60d,60/20/20,0.05000000000000001,12000,4000,4000,True
0.462,0.462,1.0,0.6320109439124487,0.6726446957627255,tri_ensemble,60d,60/20/20,0.05000000000000001,12000,4000,4000,True
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6523636457850335,logreg,60d,70/15/15,0.05,14000,2999,3001,False
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6752478538098059,rf,60d,70/15/15,0.05,14000,2999,3001,False
0.46384538487170945,0.4629506008010681,1.0,0.6328998402920374,0.6828005045970326,xgboost,60d,70/15/15,0.05,14000,2999,3001,False
0.4628457180939687,0.462487495831944,1.0,0.6324669402644779,0.680977058167137,lightgbm,60d,70/15/15,0.05,14000,2999,3001,False
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6832335842917371,catboost,60d,70/15/15,0.05,14000,2999,3001,False
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6845062444776195,gb_ensemble,60d,70/15/15,0.05000000000000001,14000,2999,3001,True
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6794156037340895,tri_ensemble,60d,70/15/15,0.05000000000000001,14000,2999,3001,True
0.46225,0.46225,1.0,0.6322448281757566,0.6501932641539938,logreg,90d,80/20,0.05,12800,3200,4000,False
0.46225,0.46225,1.0,0.6322448281757566,0.6742144408665496,rf,90d,80/20,0.05,12800,3200,4000,False
0.4635,0.462828535669587,1.0,0.632785763175907,0.6832743345253782,xgboost,90d,80/20,0.05,12800,3200,4000,False
0.46325,0.4627127127127127,1.0,0.63267750213858,0.6810069096366564,lightgbm,90d,80/20,0.05,12800,3200,4000,False
0.46225,0.46225,1.0,0.6322448281757566,0.6825611441620094,catboost,90d,80/20,0.05,12800,3200,4000,False
0.46225,0.46225,1.0,0.6322448281757566,0.6845851816818822,gb_ensemble,90d,80/20,0.05000000000000001,12800,3200,4000,True
0.46225,0.46225,1.0,0.6322448281757566,0.679783686961603,tri_ensemble,90d,80/20,0.05000000000000001,12800,3200,4000,True
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6458294383476239,logreg,90d,70/30,0.05,11200,2800,6000,False
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6710994537502553,rf,90d,70/30,0.05,11200,2800,6000,False
0.46416666666666667,0.46309285237140946,1.0,0.6330327588174866,0.6782711817471387,xgboost,90d,70/30,0.05,11200,2800,6000,False
0.46416666666666667,0.46309285237140946,1.0,0.6330327588174866,0.6819676232956445,lightgbm,90d,70/30,0.05,11200,2800,6000,False
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6826912664744625,catboost,90d,70/30,0.05,11200,2800,6000,False
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6834260288713011,gb_ensemble,90d,70/30,0.05000000000000001,11200,2800,6000,True
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6753749327678438,tri_ensemble,90d,70/30,0.05000000000000001,11200,2800,6000,True
0.4622,0.4622,1.0,0.6321980577212419,0.6529579698626342,logreg,90d,75/25,0.05,12000,3000,5000,False
0.4622,0.4622,1.0,0.6321980577212419,0.6779227324682398,rf,90d,75/25,0.05,12000,3000,5000,False
0.4634,0.4627553063676412,1.0,0.6327173169062286,0.6834109797773805,xgboost,90d,75/25,0.05,12000,3000,5000,False
0.4636,0.4628479871820549,1.0,0.632803943044907,0.6836034397554407,lightgbm,90d,75/25,0.05,12000,3000,5000,False
0.4622,0.4622,1.0,0.6321980577212419,0.6823831855634418,catboost,90d,75/25,0.05,12000,3000,5000,False
0.4622,0.4622,1.0,0.6321980577212419,0.6857718329029,gb_ensemble,90d,75/25,0.05000000000000001,12000,3000,5000,True
0.4622,0.4622,1.0,0.6321980577212419,0.6819400931306754,tri_ensemble,90d,75/25,0.05000000000000001,12000,3000,5000,True
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6481219070138817,logreg,90d,65/35,0.05,10400,2600,7000,False
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6764068301754342,rf,90d,65/35,0.05,10400,2600,7000,False
0.4622857142857143,0.4622088869838548,1.0,0.6322063709204612,0.6845617016734709,xgboost,90d,65/35,0.05,10400,2600,7000,False
0.4622857142857143,0.4622088869838548,1.0,0.6322063709204612,0.6839530286889536,lightgbm,90d,65/35,0.05,10400,2600,7000,False
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6800946651313345,catboost,90d,65/35,0.05,10400,2600,7000,False
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6851945951382518,gb_ensemble,90d,65/35,0.05000000000000001,10400,2600,7000,True
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6797436734258226,tri_ensemble,90d,65/35,0.05000000000000001,10400,2600,7000,True
0.462125,0.462125,1.0,0.6321278960417201,0.6467489609597974,logreg,90d,60/40,0.05,9600,2400,8000,False
0.462125,0.462125,1.0,0.6321278960417201,0.6743742893205142,rf,90d,60/40,0.05,9600,2400,8000,False
0.462375,0.462240560140035,1.0,0.6322359982898674,0.6801533247872119,xgboost,90d,60/40,0.05,9600,2400,8000,False
0.46225,0.4621827728466058,1.0,0.6321819425444597,0.6808751856197854,lightgbm,90d,60/40,0.05,9600,2400,8000,False
0.462125,0.462125,1.0,0.6321278960417201,0.6782947225111893,catboost,90d,60/40,0.05,9600,2400,8000,False
0.462125,0.462125,1.0,0.6321278960417201,0.6822309965979161,gb_ensemble,90d,60/40,0.05000000000000001,9600,2400,8000,True
0.462125,0.462125,1.0,0.6321278960417201,0.6776183413940655,tri_ensemble,90d,60/40,0.05000000000000001,9600,2400,8000,True
0.462,0.462,1.0,0.6320109439124487,0.6467199544569433,logreg,90d,60/20/20,0.05,12000,4000,4000,False
0.462,0.462,1.0,0.6320109439124487,0.6691633374370364,rf,90d,60/20/20,0.05,12000,4000,4000,False
0.46375,0.4628099173553719,1.0,0.632768361581921,0.6746072816588617,xgboost,90d,60/20/20,0.05,12000,4000,4000,False
0.4635,0.4626940410615924,1.0,0.6326600479287915,0.6798220270281143,lightgbm,90d,60/20/20,0.05,12000,4000,4000,False
0.462,0.462,1.0,0.6320109439124487,0.6780481561499219,catboost,90d,60/20/20,0.05,12000,4000,4000,False
0.462,0.462,1.0,0.6320109439124487,0.6797172971080964,gb_ensemble,90d,60/20/20,0.05000000000000001,12000,4000,4000,True
0.462,0.462,1.0,0.6320109439124487,0.6726446957627255,tri_ensemble,90d,60/20/20,0.05000000000000001,12000,4000,4000,True
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6523636457850335,logreg,90d,70/15/15,0.05,14000,2999,3001,False
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6752478538098059,rf,90d,70/15/15,0.05,14000,2999,3001,False
0.46384538487170945,0.4629506008010681,1.0,0.6328998402920374,0.6828005045970326,xgboost,90d,70/15/15,0.05,14000,2999,3001,False
0.4628457180939687,0.462487495831944,1.0,0.6324669402644779,0.680977058167137,lightgbm,90d,70/15/15,0.05,14000,2999,3001,False
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6832335842917371,catboost,90d,70/15/15,0.05,14000,2999,3001,False
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6845062444776195,gb_ensemble,90d,70/15/15,0.05000000000000001,14000,2999,3001,True
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6794156037340895,tri_ensemble,90d,70/15/15,0.05000000000000001,14000,2999,3001,True
0.5354881706097967,0.1552511415525114,0.7062314540059347,0.2545454545454545,0.652850179556411,stacking_ensemble,30d,70/15/15,0.1,14000,2999,3001,True
